#;Название;Адрес;Телефон;Telegram;Телефон 2;Telegram 2;Сайт
1;Блинная;ул. Коцюбинского, 8, Луганск;+7 (959) 259-59-54;https://t.me/+79592595954;;;
2;BarbecuE;пл. Героев ВОВ, 7, Луганск;+7 (959) 272-77-77;https://t.me/+79592727777;;;
3;Карамель;ул. Коцюбинского, 9, Луганск;+7 (959) 283-62-38;https://t.me/+79592836238;;;
4;Choli;Оборонная ул., 1, Луганск;+7 (959) 252-11-11;https://t.me/+79592521111;;;choli-lg.ru
5;Фабрика кофе;ул. Курчатова, 1, Луганск;+7 (959) 135-67-45;https://t.me/+79591356745;;;
6;Два Гуся;Советская ул., 60, Луганск;+7 (959) 210-68-73;https://t.me/+79592106873;;;
7;Кавказский двор;ул. Будённого, 87, Луганск;+7 (959) 153-73-76;https://t.me/+79591537376;;;
8;Мясной Цех;пл. Героев ВОВ, 8, Луганск;+7 (959) 233-38-63;https://t.me/+79592333863;;;
9;Mansion;ул. Челюскинцев, 7, Луганск;+7 (959) 184-40-35;https://t.me/+79591844035;;;
10;Мята Lounge;Советская ул., 77, Луганск;+7 (959) 581-38-08;https://t.me/+79595813808;;;
11;Olivia Pizza;кв. Ирины Левченко, 10А, Луганск;+7 (959) 578-44-68;https://t.me/+79595784468;;;
12;Осетинские пироги;ул. Котельникова, 2, Луганск;+7 (959) 150-77-70;https://t.me/+79591507770;;;pirogi-lg.ru
13;Панорама;Советская ул., 66А, Луганск;+7 (959) 220-58-88;https://t.me/+79592205888;;;
14;Papa Grill;Оборонная ул., 1, Луганск;vk.com/papagrilllugansk;https://vk.com/papagrilllugansk;;;
15;Премиум Шаурма;кв. Заречный, 13А, Луганск;;;;;
16;Шаурма Club;ул. Градусова, 4А, Луганск;+7 (959) 569-69-69;https://t.me/shaurmaclub_bot;;;shaurmaclub.ru
17;Шаурма по-братски;ул. Королёва, 78, Луганск;+7 (959) 035-70-63;https://t.me/+79590357063;;;
18;Street Food 60;Советская ул., 60Д, Луганск;+7 (959) 160-60-60;https://t.me/+79591606060;;;
19;Два Льва;ул. Коцюбинского, 15Б, Луганск;;;;;
20;У Паровоза;Красноармейская ул., 82, Луганск;+7 (959) 145-33-70;https://t.me/+79591453370;;;
21;Царские блины;кв. Волкова, 4А, Луганск;+7 (959) 263-63-97;https://t.me/+79592636397;;;
22;МсDаk;кв. Молодёжный, 20Б, Луганск;+7 (959) 183-93-70;https://t.me/+79591839370;;;
23;Дежавю;ул. Учебная, 20, Луганск;+7 (959) 264-29-82;https://t.me/+79592642982;+7 (959) 191-60-79;https://t.me/+79591916079;
24;Гризли роллы;ул. Демёхина, 23, Луганск;+7 (959) 129-26-26;https://t.me/+79591292626;;;grizzly-lg.ru
25;Челси;Советская ул., 58, Луганск;+7 (959) 160-89-89;https://t.me/+79591608989;;;
26;Макинтош;ул. Коцюбинского, 8, Луганск;+7 (959) 257-00-00;https://t.me/+79592570000;+7 (985) 000-66-32;https://t.me/+79850006632;
27;ЧебурекМи;кв. Героев Брестской Крепости, 6, пом. 63, Луганск;+7 (959) 583-84-10;https://t.me/+79595838410;;;
28;Джрвеж;ул. Ленина, 229, Луганск;+7 (959) 555-05-05;https://t.me/Djrvezh;;;kafe-djrvej.clients.site
29;LFC;кв. Щербакова, 6А, Луганск;+7 (959) 155-35-37;https://t.me/+79591553537;;;
30;Две палки;Монтажная ул., 30, Луганск;+7 (959) 989-68-12;https://t.me/+79599896812;;;
31;Рестопаб Гараж;пл. Героев ВОВ, 2, Луганск;+7 (959) 990-27-27;https://t.me/+79599902727;;;
32;План Б;ул. Ватутина, 97А, Луганск;+7 (959) 256-66-75;https://t.me/+79592566675;;;planb.com.ru
33;La Stellata;кв. Героев Сталинграда, 13, Луганск;+7 (959) 133-45-86;https://t.me/+79591334586;;;
34;Лира;пл. Розы Люксембург, 4, Луганск;+7 (959) 134-54-54;https://t.me/+79591345454;;;
35;Резвые Клинки;Советская ул., 65, Луганск;+7 (959) 512-22-33;https://t.me/+79595122233;;;
36;Roll.ru;Луганск;+7 (959) 144-00-00;https://t.me/+79591440000;+7 (959) 145-45-05;https://t.me/+79591454505;roll.ru
37;Сашими;ул. Зозулина, 48, Луганск;+7 (959) 560-26-02;https://t.me/+79595602602;;;
